0;0;60;0;0;38.368965;27.209613;0;0
0.1;0.1;59.9;25;1;38.372993;27.197137;0;0
0.1;0.2;59.8;50;2;38.375365;27.195807;0;0
0.1;0.3;59.7;75;3;38.376122;27.191419;0;0
0.1;0.4;59.6;100;4;38.380092;27.18481;0.1;0.1
0.1;0.5;59.5;125;5;38.38074;27.183587;0.2;0.2
0.1;0.6;59.4;150;6;38.384012;27.18084;0.3;0.3
0.1;0.7;59.3;175;7;38.385114;27.179456;0.4;0.4
0.1;0.8;59.2;200;8;38.385114;27.179456;0.5;0.5
0.1;0.9;59.1;225;9;38.384012;27.18084;0.6;0.6
0.1;1;59;250;10;38.38074;27.183587;0.7;0.7
0.1;1.1;58.9;275;11;38.380092;27.18481;0.8;0.8
0.1;1.2;58.8;300;12;38.376122;27.191419;0.9;0.9
0.1;1.3;58.7;325;13;38.375365;27.195807;1;1
0.1;1.4;58.6;350;14;38.372993;27.197137;1.1;1.1
0.1;1.5;58.5;375;15;38.368965;27.209613;1.2;1.2
0.1;1.6;58.4;400;16;38.368965;27.209613;1.3;1.3
0.1;1.7;58.3;425;17;38.372993;27.197137;1.4;1.4
0.1;1.8;58.2;450;18;38.375365;27.195807;1.5;1.5
0.1;1.9;58.1;475;19;38.376122;27.191419;1.6;1.6
0.2;2;58;500;20;38.380092;27.18481;1.7;1.7
0.3;2.1;57.9;525;21;38.38074;27.183587;1.8;1.8
0.4;2.2;57.8;550;22;38.384012;27.18084;1.9;1.9
0.5;2.3;57.7;575;23;38.385114;27.179456;2;2
0.6;2.4;57.6;600;24;38.385114;27.179456;2.1;2.1
0.7;2.5;57.5;625;25;38.384012;27.18084;2.2;2.2
0.8;2.6;57.4;650;26;38.38074;27.183587;2.3;2.3
0.9;2.7;57.3;675;27;38.380092;27.18481;2.4;2.4
1;2.8;57.2;700;28;38.376122;27.191419;2.5;2.5
1.1;2.9;57.1;725;29;38.375365;27.195807;2.6;2.6
1.2;3;57;750;30;38.372993;27.197137;2.7;2.7
1.3;3.1;56.9;775;31;38.368965;27.209613;2.8;2.8
1.4;3.2;56.8;800;32;38.368965;27.209613;2.9;2.9
1.5;3.3;56.7;825;33;38.372993;27.197137;3;3
1.6;3.4;56.6;850;34;38.375365;27.195807;3.1;3.1
1.7;3.5;56.5;875;35;38.376122;27.191419;3.2;3.2
1.8;3.6;56.4;900;36;38.380092;27.18481;3.3;3.3
1.9;3.7;56.3;925;37;38.38074;27.183587;3.4;3.4
2;3.8;56.2;950;38;38.384012;27.18084;3.5;3.5
2.1;3.9;56.1;975;39;38.385114;27.179456;3.6;3.6
2.2;4;56;1000;40;38.385114;27.179456;3.7;3.7
2.3;4.1;55.9;1025;41;38.384012;27.18084;3.8;3.8
2.4;4.2;55.8;1050;42;38.38074;27.183587;3.9;3.9
2.5;4.3;55.7;1075;43;38.380092;27.18481;4;4
2.6;4.4;55.6;1100;44;38.376122;27.191419;4.1;4.1
2.7;4.5;55.5;1125;45;38.375365;27.195807;4.2;4.2
2.8;4.6;55.4;1150;46;38.372993;27.197137;4.3;4.3
2.9;4.7;55.3;1175;47;38.368965;27.209613;4.4;4.4
3;4.8;55.2;1200;48;38.368965;27.209613;4.5;4.5
3.1;4.9;55.1;1225;49;38.372993;27.197137;4.6;4.6
3.2;5;55;1250;50;38.375365;27.195807;4.7;4.7
3.3;5.1;54.9;1275;51;38.376122;27.191419;4.8;4.8
3.4;5.2;54.8;1300;52;38.380092;27.18481;4.9;4.9
3.5;5.3;54.7;1325;53;38.38074;27.183587;5;5
3.6;5.4;54.6;1325;53;38.384012;27.18084;5.1;5.1
3.7;5.5;54.5;1325;53;38.385114;27.179456;5.2;5.2
3.8;5.6;54.4;1325;53;38.385114;27.179456;5.3;5.3
3.9;5.7;54.3;1325;53;38.384012;27.18084;5.4;5.4
4;5.8;54.2;1325;53;38.38074;27.183587;5.5;5.5
4.1;5.9;54.1;1325;53;38.380092;27.18481;5.6;5.6
4.2;6;54;1325;53;38.376122;27.191419;5.7;5.7
4.3;6.1;53.9;1325;53;38.375365;27.195807;5.8;5.8
4.4;6.2;53.8;1325;53;38.372993;27.197137;5.9;5.9
4.5;6.3;53.7;1325;53;38.368965;27.209613;6;6
4.6;6.4;53.6;1325;53;38.368965;27.209613;6.1;6.1
4.7;6.5;53.5;1325;53;38.372993;27.197137;6.2;6.2
4.8;6.6;53.4;1325;53;38.375365;27.195807;6.3;6.3
4.9;6.7;53.3;1325;53;38.376122;27.191419;6.4;6.4
5;6.8;53.2;1325;53;38.380092;27.18481;6.5;6.5
5.1;6.9;53.1;1325;53;38.38074;27.183587;6.6;6.6
5.2;7;53;1325;53;38.384012;27.18084;6.7;6.7
5.3;7.1;52.9;1325;53;38.385114;27.179456;6.8;6.8
5.4;7.2;52.8;1325;53;38.385114;27.179456;6.9;6.9
5.5;7.3;52.7;1325;53;38.384012;27.18084;7;7
5.6;7.4;52.6;1325;53;38.38074;27.183587;7.1;7.1
5.7;7.5;52.5;1325;53;38.380092;27.18481;7.2;7.2
5.8;7.6;52.4;1325;53;38.376122;27.191419;7.3;7.3
5.9;7.7;52.3;1325;53;38.375365;27.195807;7.4;7.4
6;7.8;52.2;1325;53;38.372993;27.197137;7.5;7.5
6.1;7.9;52.1;1325;53;38.368965;27.209613;7.6;7.6
6.2;8;52;1325;53;38.368965;27.209613;7.7;7.7
6.3;8.1;51.9;1325;53;38.372993;27.197137;7.8;7.8
6.4;8.2;51.8;1325;53;38.375365;27.195807;7.9;7.9
6.5;8.3;51.7;1325;53;38.376122;27.191419;8;8
6.6;8.4;51.6;1325;53;38.380092;27.18481;8.1;8.1
6.7;8.5;51.5;1325;53;38.38074;27.183587;8.2;8.2
6.8;8.6;51.4;1325;53;38.384012;27.18084;8.3;8.3
6.9;8.7;51.3;1325;53;38.385114;27.179456;8.4;8.4
7;8.8;51.2;1325;53;38.385114;27.179456;8.5;8.5
7.1;8.9;51.1;1325;53;38.384012;27.18084;8.6;8.6
7.2;9;51;1325;53;38.38074;27.183587;8.7;8.7
7.3;9.1;50.9;1325;53;38.380092;27.18481;8.8;8.8
